Feature1,Feature2,Feature3,ComLevel
2190,2195,2131,2144.4
2144,2144,2085.1,2093.55
2100,2126.5,2096,2101.7
2118,2123.6,2095,2105.45
2107,2138.4,2096.5,2133.75
2137.9,2184.75,2128.1,2167.9
2160,2186,2147.2,2165.4
2165,2191,2155.85,2166
2170,2215,2162.25,2197.95
2206,2222,2182.8,2189.35
2198,2213,2190.75,2205.7
2204,2205.25,2170.1,2177.9
2189,2199.5,2180,2188.9
2194,2195,2177.15,2182.15
2161,2280,2160.15,2275.75
2271.8,2299,2228,2240.05
2233.2,2254,2224,2240.65
2254.85,2286.25,2242.55,2251.9
2252.85,2260,2232.15,2240.75
2245.5,2250.05,2152.8,2228.5
2228.1,2228.5,2135,2142.65
2155,2177.65,2122,2151.65
2153,2189.75,2153,2179.45
2148.05,2202,2136.85,2149.55
2141,2160.5,2124.3,2139.55
2135.5,2151.8,2104.25,2122
2075,2075,2013.05,2039.4
2038,2122.9,2011.4,2108.2
2125,2145,2085,2127
2125,2141.9,2115.45,2128.25
2136.95,2157.95,2126.15,2152.6
2144,2172,2130,2146.65
2148.05,2158.5,2087.55,2093.5
2100.95,2115,2065.05,2094.25
2097,2122.85,2080.05,2102.1
2104,2144.95,2082,2133.15
2145,2185,2144.9,2176.7
2190,2202,2161.05,2172.25
2172.85,2182,2147.6,2166.5
2172,2187,2130,2138.85
2130.1,2165.95,2120.7,2153.8
2152,2162,2105,2140.4
2140.4,2148.65,2115.2,2126.15
2118,2174.9,2100,2164.1
2181,2258,2174.05,2252.75
2264,2264,2184.2,2196.3
2220,2227,2142.7,2222.9
2220,2242.9,2211.3,2221.75
2233.95,2249.9,2219.9,2221.05
2231.4,2243.9,2201.1,2213.75
2227,2235,2193.2,2205.25
2205.25,2222.7,2180.1,2191.35
2186,2206.35,2176.9,2194.25
2185.1,2205.6,2181,2189.2
2181.25,2219.9,2181.25,2208.45
2210.8,2229,2204.15,2213.7
2213.7,2221.6,2190,2198.9
2191.05,2203,2140.1,2165.55
2165.1,2181.8,2147.65,2162.05
2152,2184.7,2152,2159.9
2153,2166.7,2123.15,2159.35
2165.8,2239,2165.8,2210.95
2214.4,2237.7,2201.1,2216.1
2216.1,2225,2171.15,2193.15
2200.05,2253.4,2100.25,2160.75
2150,2160,1999.5,2036.7
2028,2160,2028,2068.2
2061.2,2089,2055.8,2082.85
2096.75,2124,2075.1,2111.95
2119,2149,2096,2127.9
2149,2169.6,2133.6,2154
2160.15,2184.6,2118,2131.45
2140,2158.75,2122.45,2150.55
2145,2180,2135.2,2159.95
2158.8,2167,2130.15,2141.35
2144,2157.75,2116.05,2129.85
2129.85,2138,2105.2,2128.6
2130,2134.9,2077,2089.25
2083.1,2116.4,2068,2104.15
2100.15,2107.8,2056,2084.25
2087,2118,2080,2113.8
2115,2160.95,2115,2158.15
2165,2214,2138.2,2206.95
2249,2254,2183.8,2237.35
2238,2239,2185.05,2213.55
2210,2276.95,2210,2269.75
2284.9,2297,2271,2279.85
2293,2293,2221.3,2227.05
2230,2289,2210.1,2276.05
2284.9,2299,2262,2292.4
2293,2299.9,2254.05,2268.85
2269,2319.5,2255,2309.05
2310,2320,2293,2310.55
2296,2344.15,2291.15,2307.65
2317,2406.9,2315,2399.55
2400.55,2435,2376.6,2425.4
2418.9,2419,2382.3,2390.75
2400,2411.75,2383.5,2401.6
2399,2445,2392,2417.9
2412.4,2425.5,2401,2410.5
2420.05,2498,2410.4,2488.55
2484.95,2486.15,2433.25,2449.45
2470,2472.65,2381.6,2398.15
2399.55,2419.6,2335,2351.8
2371,2410,2361.1,2394.45
2418.8,2439,2385.25,2426.25
2426.2,2430,2393.75,2399.3
2409.65,2424,2386.85,2401.85
2410,2429.8,2375,2381.95
2452,2485,2435,2441.2
2468,2469.85,2443.05,2463.75
2465,2540,2461.9,2532.4
2540,2596.3,2532.3,2586.15
2594.9,2602,2567,2595.2
2594,2614.35,2567,2605.75
2577.15,2599.65,2555,2589.3
2584.8,2610,2572.6,2595.05
2575.1,2598,2569.25,2580.05
2575,2587.95,2510,2516.4
2532,2541.9,2488,2526.05
2544.9,2545,2490.1,2523.7
2516.15,2534.85,2490.25,2506.65
2490,2495,2459.05,2469.8
2465,2507.7,2465,2478.7
2490.9,2495.55,2455,2468.4
2489.9,2489.9,2440.2,2471.75
2470,2530,2470,2500.05
2514,2532,2490.05,2499.75
2491.05,2505,2470,2487.6
2500,2504.9,2435,2438.5
2444.5,2455.05,2430.05,2436.2
2447,2460,2430,2432.45
2444,2468.2,2435.8,2464.2
2470,2528.5,2466.9,2522.05
2529,2550,2500,2533.8
2534,2567.4,2514.05,2549.95
2547,2549.3,2513,2522.35
2525.4,2560,2523.05,2537.15
2545.8,2554.8,2514.1,2537.9
2539,2616,2539,2606.4
2622,2627.45,2577.45,2584.75
2599.9,2621.8,2583.05,2598.6
2612,2650,2599.05,2642.7
2652,2667,2625.1,2631.25
2638,2642.75,2591.2,2600.15
2610,2624.4,2591.5,2598.35
2610,2624.35,2593.2,2607.6
2614,2618.6,2554,2558.3
2566,2575,2544,2550.85
2561,2604.75,2561,2591.2
2591.7,2651.8,2581,2642.3
2643,2740,2642,2714.2
2714,2734,2676.25,2721.8
2724,2782.45,2683.3,2688.2
2693,2706.95,2632.75,2643
2660.95,2725,2660,2708.6
2710,2724.9,2670.1,2684
2695.4,2775.45,2675.3,2767.95
2772.95,2776.65,2708.15,2736.6
2752,2802,2737,2775.6
2739.6,2839.7,2725.6,2731.35
2738,2739.95,2649.25,2683.2
2708,2723.3,2686.5,2706.05
2706,2727.45,2668.5,2678.5
2680,2724.8,2670,2716.55
2730,2735.7,2678.8,2699.2
2730,2758.6,2664.25,2678.1
2475,2511.35,2430,2441.15
2490,2493.6,2417.95,2423.3
2425.85,2443.75,2415,2433.4
2485,2489,2445.1,2451.85
2465,2468,2455,2465.35
2519,2519.7,2444.95,2457.15
2484.9,2484.9,2453.45,2478.6
2475,2514,2473,2506.05
2521.8,2574.9,2509,2558.2
2561,2620,2561,2607.85
2649,2649,2580.5,2590.35
2638,2638,2590,2599.5
2604.8,2615.7,2557,2572.85
2575.1,2582,2551,2569.65
2578,2594,2555.4,2580.7
2580,2611,2575,2591.75
2595,2604.9,2565.15,2588.45
2585.2,2611.15,2575,2606.45
2595.1,2625,2592.25,2618.3
2620,2626.65,2579.75,2585.85
2598,2598,2557.45,2573.75
2588,2610.25,2560.55,2605.45
2608,2640,2586.65,2622.15
2622,2665,2622,2657.7
2660,2679.4,2616,2636
2630.05,2656.35,2615,2627.3
2627.3,2668,2625.3,2653.3
2658.35,2691.9,2635.35,2643
2650.5,2700,2645.25,2692.95
2693,2710.95,2649.35,2657.3
2671.9,2673.4,2618.5,2635.35
2664,2667,2629.9,2637.95
2640.9,2649.8,2572.15,2578.95
2595,2595,2501.65,2512.8
2516,2559,2509.1,2514.85
2515,2531.9,2496.2,2507.9
2500.6,2522.9,2487,2492.15
2500,2520,2422.65,2450.7
2384.9,2385,2352.25,2358.65
2350,2459.25,2345,2443.05
2453.4,2470,2405.25,2444.1
2455.1,2468.5,2434.8,2460.7
2471.3,2523.75,2468,2510.55
2526,2529,2474.4,2513.4
2500,2536.65,2494.6,2516.7
2515,2520.85,2465.65,2479.9
2486,2510,2465,2505
2508,2536.95,2507,2522.9
2525,2542.45,2516,2530.05
2532.7,2566.4,2525,2558.25
2567,2567,2541,2545.55
2551,2590.95,2550.6,2579.45
2581,2599.9,2524.65,2540.25
2529.1,2529.1,2440,2446.6
2470,2479.15,2407.45,2417.7
2442.4,2449,2420.55,2443.8
2455,2519.9,2450,2512.3
2517,2528,2480.25,2509.7
2520,2530.4,2480.1,2497.9
2516,2531.8,2500.5,2521.95
2533,2581.75,2523.25,2539.1
2543.7,2545,2484.3,2532.15
2536,2551,2503,2511
2520,2530,2483.25,2500.45
2522,2522,2488.25,2513.8
2516.5,2521.25,2495.5,2513.55
2514,2532.05,2496.1,2503.6
